idx_NUTS3,1,2,3,4,5,6,7
DEA5A,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA5B,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEA5C,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB11,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB12,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB13,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB14,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB15,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB16,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB17,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB18,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB19,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB1A,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB1B,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB21,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB22,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB23,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB24,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB25,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB31,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB32,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB33,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB34,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB35,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB36,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB37,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB38,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB39,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB3A,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB3B,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB3C,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB3D,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB3E,0.299,0.34,0.025,0.025,0.052,0.157,0.157
DEB3F,0.299,0.34,0.025,0.025,0.052,0.157,0.157
