nuts2_id,heating_or_cooling,sector,120%load_factor
BG32,cooling,residential,0.000612015
BG33,cooling,residential,0.000631716
BG34,cooling,residential,0.000632191
BG41,cooling,residential,0.000490417
BG42,cooling,residential,0.000569238
CY00,cooling,residential,0.000612035
CZ01,cooling,residential,0.000437835
CZ02,cooling,residential,0.000418299
CZ03,cooling,residential,0.000398156
CZ04,cooling,residential,0.000406187
CZ05,cooling,residential,0.000428211
CZ06,cooling,residential,0.000444743
CZ07,cooling,residential,0.000463935
CZ08,cooling,residential,0.000488275
DE11,cooling,residential,0.000444961
DE12,cooling,residential,0.000469592
DE13,cooling,residential,0.000433398
DE14,cooling,residential,0.000409769
DE21,cooling,residential,0.000403426
DE22,cooling,residential,0.000454372
DE23,cooling,residential,0.00045836
DE24,cooling,residential,0.000448798
DE25,cooling,residential,0.000426729
DE26,cooling,residential,0.000432963
DE27,cooling,residential,0.000402778
DE30,cooling,residential,0.000496935
DE40,cooling,residential,0.000499782
DE50,cooling,residential,0.000439968
DE60,cooling,residential,0.000448786
DE71,cooling,residential,0.00043081
DE72,cooling,residential,0.000427837
DE73,cooling,residential,0.000419016
DE80,cooling,residential,0.0004921
DE91,cooling,residential,0.000455083
DE92,cooling,residential,0.000460032
DE93,cooling,residential,0.000451027
DE94,cooling,residential,0.000447154
DEA1,cooling,residential,0.000424159
DEA2,cooling,residential,0.000416151
DEA3,cooling,residential,0.000450509
DEA4,cooling,residential,0.00048183
DEA5,cooling,residential,0.000413764
DEB1,cooling,residential,0.000404695
DEB2,cooling,residential,0.000401457
DEB3,cooling,residential,0.000442162
Dec-00,cooling,residential,0.000430367
DED2,cooling,residential,0.000452383
DED4,cooling,residential,0.000423694
DED5,cooling,residential,0.000464217
DEE0,cooling,residential,0.000480313
DEF0,cooling,residential,0.000424126
DEG0,cooling,residential,0.000422408
DK01,cooling,residential,0.000397033
DK02,cooling,residential,0.000389657
DK03,cooling,residential,0.000399765
DK04,cooling,residential,0.000389338
DK05,cooling,residential,0.000392562
EE00,cooling,residential,0.000405641
EL42,cooling,residential,0.000608989
EL51,cooling,residential,0.000602178
EL52,cooling,residential,0.000537765
EL53,cooling,residential,0.000473792
EL54,cooling,residential,0.000529567
EL61,cooling,residential,0.000562771
EL63,cooling,residential,0.000500471
EL64,cooling,residential,0.000478124
ES11,cooling,residential,0.000444885
ES12,cooling,residential,0.000446257
ES13,cooling,residential,0.000440094
ES21,cooling,residential,0.000441747
ES22,cooling,residential,0.000448485
ES23,cooling,residential,0.000434392
ES24,cooling,residential,0.000444146
ES30,cooling,residential,0.000453821
ES41,cooling,residential,0.000439221
ES42,cooling,residential,0.000458696
ES43,cooling,residential,0.000473261
ES51,cooling,residential,0.000450039
ES52,cooling,residential,0.000491078
ES53,cooling,residential,0.000468524
ES61,cooling,residential,0.000497627
ES62,cooling,residential,0.000503371
ES70,cooling,residential,0.000470503
